yr,ticker,fecha,ret,ps
2015,WLFC,2015-03-11,-3.08,2.8300
2015,WOR,2015-03-25,39.64,0.3100
2015,WSO,2015-02-12,5.40,1.0300
2016,AAON,2016-02-25,30.84,2.4500
2016,AGX,2016-04-14,88.32,1.2400
2016,ALGT,2016-01-27,8.52,2.1100
2016,ALNT,2016-03-09,14.68,1.2300
2016,AMRC,2016-03-03,22.00,0.3800
2016,ARCB,2016-02-03,74.13,0.1700
2016,ATI,2016-01-26,179.90,0.2300
2016,ATRO,2016-02-17,56.18,0.7900
2016,AVAV,2016-03-08,-1.62,2.3100
2016,AXON,2016-02-29,32.46,5.3400
2016,AZZ,2016-01-08,18.44,1.5100
2016,BBSI,2016-05-26,68.24,0.3500
2016,CAR,2016-02-23,35.58,0.3500
2016,CECO,2016-03-10,82.78,0.4100
2016,CLH,2016-02-24,34.78,0.7400
2016,CMCO,2016-01-28,91.26,0.4900
2016,CMRE,2016-01-27,-12.92,0.7700
2016,CODI,2016-02-29,13.90,0.8300
2016,CPA,2016-02-17,84.19,1.0300
2016,CRAI,2016-02-18,116.94,0.5000
2016,CW,2016-02-24,50.79,1.3800
2016,CYD,2016-04-15,70.11,0.1800
2016,DAC,2016-02-16,-42.68,0.9100
2016,DXPE,2016-02-26,170.50,0.1600
2016,DY,2016-02-23,62.23,0.8700
2016,EBF,2016-05-10,-10.33,0.8600
2016,ENS,2016-01-28,61.96,0.9300
2016,EPAC,2016-03-16,15.52,1.1600
2016,ESLT,2016-03-22,19.23,1.3400
2016,FCN,2016-02-25,17.35,0.8100
2016,FIX,2016-02-23,21.44,0.6500
2016,FRO,2016-05-31,-39.08,1.9100
2016,FSS,2016-02-29,25.46,0.9600
2016,FWRD,2016-02-09,8.59,1.3900
2016,GBX,2016-01-07,85.32,0.2800
2016,GEO,2016-02-17,65.22,1.1600
2016,GNRC,2016-02-16,21.53,1.6800
2016,GRC,2016-02-05,39.18,1.4500
2016,HEI,2016-02-25,48.05,3.0700
2016,HLIO,2016-02-29,28.95,3.9700
2016,HTLD,2016-01-26,16.65,2.0300
2016,HUBG,2016-02-03,46.52,0.3100
2016,HURN,2016-02-22,-10.73,1.3000
2016,ICFI,2016-03-07,50.28,0.5800
2016,JBTM,2016-03-31,55.91,1.4600
2016,KAI,2016-02-24,55.06,1.1200
2016,KFY,2016-03-09,9.83,1.2500
2016,LNN,2016-03-31,22.62,1.5000
2016,MRCY,2016-01-26,79.15,2.4500
2016,MTZ,2016-02-25,155.17,0.2800
2016,PKE,2016-01-07,20.46,2.0300
2016,PRIM,2016-02-25,28.74,0.5200
2016,RGR,2016-02-24,-21.68,2.2600
2016,STN,2016-02-25,20.52,0.9400
2016,TREX,2016-02-23,78.59,2.8000
2016,TTEK,2016-01-27,78.03,0.6300
2016,WCC,2016-01-28,94.93,0.2400
2016,WLFC,2016-03-07,30.76,2.3500
2016,WOR,2016-03-22,39.96,0.4800
2016,WSO,2016-02-11,23.09,1.0500
2017,AAON,2017-02-23,20.99,2.9600
2017,AGX,2017-04-10,-33.33,1.5000
2017,ALGT,2017-01-31,-7.41,2.0700
2017,ALNT,2017-03-13,36.22,1.3200
2017,AMRC,2017-03-02,62.30,0.4300
2017,ARCB,2017-02-08,15.80,0.3000
2017,ATI,2017-01-24,33.62,0.7700
2017,ATRO,2017-02-17,25.01,1.3300
2017,AVAV,2017-03-07,93.23,2.6900
2017,AXON,2017-02-28,6.16,5.0900
2017,BBSI,2017-03-07,18.95,0.5500
2017,CAR,2017-02-15,-4.18,0.4100
2017,CECO,2017-03-09,69.73,0.6800
2017,CLH,2017-02-22,-11.39,1.1700
2017,CMCO,2017-01-26,39.16,0.9200
