ticker,yr,fecha,f4,sector,ret,ps,mcap,mom,r40,sdmb,sdcr,mb,cr
COO,2007,2007-03-08,2008-03-06,Healthcare,-26.16,2.4900,2172.9,-15.65,0.1383,0.01444,0.36064,0.5921,0.0665
CPA,2007,2007-03-07,2008-02-21,Industrials,-22.04,2.6400,2215.2,52.82,-1.8234,0.09539,0.15044,0.2590,0.2380
CPF,2007,2007-03-01,2008-01-31,Financial Services,-48.61,5.4700,1564.0,-0.94,0.4129,0.04594,0.47083,0.6634,0.1262
CPG,2007,2007-05-10,2008-05-09,desconocido,98.87,3.8200,1554.8,-6.97,0.5218,0.01710,0.32108,0.6356,0.3941
CPHD,2007,2007-03-31,2008-03-31,desconocido,107.22,6.1500,615.4,28.49,-0.0990,0.03532,0.75885,0.4724,0.3104
CPSS,2007,2007-02-15,2008-02-12,desconocido,-59.83,1.6400,304.6,26.70,0.3422,0.13484,0.08936,0.6533,0.3422
CRAI,2007,2007-01-11,2008-03-20,Industrials,-45.13,1.9000,664.8,10.94,0.3190,0.02490,0.16146,0.3656,0.1697
CREE,2007,2007-01-18,2008-01-22,desconocido,46.48,3.3500,1363.8,-39.05,-0.1242,0.07182,0.11328,0.3423,-0.1591
CRI,2007,2007-02-13,2008-02-26,Consumer Cyclical,-12.11,1.1500,1545.0,-5.92,0.2092,0.01120,0.19220,0.3600,0.0770
CRK,2007,2007-02-12,2008-02-11,Energy,13.44,3.2400,1265.2,8.60,0.6375,0.07930,0.34195,0.7432,0.3578
CRL,2007,2007-02-12,2008-02-11,Healthcare,40.85,2.8500,3100.8,6.24,0.0994,0.02040,0.29916,0.3744,-0.0667
CRS,2007,2007-01-26,2008-01-29,Basic Materials,15.82,1.7200,2962.4,4.69,0.4167,0.02269,0.05505,0.2165,0.2765
CRUS,2007,2007-04-18,2008-01-30,Technology,-43.66,2.1500,714.6,11.20,-0.1604,0.06796,0.09378,0.6021,-0.0613
CSGP,2007,2007-02-21,2008-02-20,Real Estate,-17.38,5.5400,880.2,15.92,0.2708,0.02338,0.00951,0.6057,0.1758
CSL,2007,2007-02-08,2008-02-11,Basic Materials,-19.42,1.1200,2882.6,9.89,0.7567,0.00700,0.23083,0.1949,0.6518
CTRA,2007,2007-02-15,2008-02-13,desconocido,32.52,4.1600,3169.9,57.88,0.0813,0.04651,0.23689,0.6960,-0.2372
CTRN,2007,2007-03-21,2008-03-26,Consumer Cyclical,-65.23,1.6400,626.3,24.65,0.4271,0.01066,0.09546,0.3840,0.3092
CUZ,2007,2007-02-28,2008-05-12,Real Estate,-20.80,7.1700,1272.4,-0.64,-1.0050,0.22022,0.39571,0.3040,-0.0081
CVBF,2007,2007-01-19,2008-01-17,Financial Services,-26.70,5.1500,1041.4,-10.24,-0.0981,0.09012,0.16312,0.5173,-0.3421
CVGI,2007,2007-02-08,2008-02-06,desconocido,-52.75,0.4700,431.8,1.15,0.1744,0.01405,0.42544,0.1376,0.0933
CW,2007,2007-02-08,2008-02-11,Industrials,2.91,1.3700,1756.6,26.77,0.3104,0.00911,0.06042,0.3370,0.1896
CWCO,2007,2007-03-16,2008-03-18,desconocido,-12.49,9.4800,362.4,6.75,0.3558,0.06990,0.23918,0.2805,0.2680
CYH,2007,2007-02-15,2008-02-21,desconocido,-18.39,0.8200,3579.8,0.76,0.2753,0.00258,0.03617,0.4846,0.1756
DAKT,2007,2007-02-14,2008-02-13,Technology,-41.71,3.0300,1250.1,39.82,0.5942,0.00963,0.18048,0.3032,0.5022
DAR,2007,2007-03-15,2008-02-27,Consumer Defensive,136.06,1.1600,472.1,37.65,0.7553,0.01199,0.27970,0.2262,0.6660
DBI,2007,2007-03-29,2008-03-27,desconocido,-68.49,1.4700,1880.2,35.36,0.2339,0.01237,0.04701,0.2713,0.1594
DCOM,2007,2007-03-15,2008-03-14,Financial Services,-14.91,7.3300,846.8,-4.44,0.2266,0.04984,0.14091,0.4351,0.0195
DDD,2007,2007-02-02,2008-03-17,Technology,-32.00,2.4800,367.6,2.28,0.1919,0.06059,0.13145,0.3776,0.3172
DDS,2007,2007-04-04,2008-03-19,Consumer Cyclical,-48.32,0.3500,2726.3,-1.35,0.0794,0.01324,0.04464,0.3337,0.0169
DECK,2007,2007-02-27,2008-02-28,Consumer Cyclical,106.16,2.5900,788.5,29.66,0.5416,0.02978,0.19451,0.4847,0.3673
DENN,2007,2007-02-15,2008-02-13,desconocido,-35.14,0.5400,536.8,30.19,0.0972,0.22481,0.02132,0.1998,0.0041
