yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2009,DKS,Cons,0.130,0.376,0.301,0.605,-49.4,99.5,82.3
2009,DMLP,Ener,0.107,0.872,0.285,0.229,-10.6,10.8,25.8
2009,DRI,Cons,0.371,0.647,0.473,0.907,0.1,47.6,57.3
2009,EGO,Basi,0.846,0.967,0.997,0.870,31.3,56.5,60.5
2009,EGY,Ener,0.980,0.935,0.086,0.000,1.8,-17.7,33.1
2009,EMBJ,Indu,0.839,0.613,0.735,0.789,-64.9,62.6,55.5
2009,ENS,Indu,0.215,0.607,0.299,0.163,-62.6,117.7,68.5
2009,EPAC,Indu,0.169,0.535,0.223,0.216,-73.1,144.1,91.6
2009,EQT,Ener,0.976,0.302,0.722,0.777,-36.4,20.9,40.9
2009,ESLT,Indu,0.278,0.340,0.732,0.691,-25.3,37.2,55.8
2009,EXP,Basi,0.857,0.034,0.286,0.441,-39.4,15.3,35.8
2009,EXPE,Cons,0.060,0.324,0.005,0.519,-66.7,181.5,93.1
2009,FCN,Indu,0.148,0.403,0.776,0.745,-25.8,1.4,40.8
2009,FIX,Indu,0.380,0.270,0.603,0.055,-23.5,37.4,52.1
2009,FMC,Basi,0.328,0.195,0.598,0.808,-14.4,18.8,37.8
2009,FRO,Indu,0.865,0.852,0.982,0.636,-55.4,32.2,49.8
2009,FSS,Indu,0.504,0.519,0.190,0.046,-44.9,3.5,39.2
2009,FUL,Basi,0.450,0.202,0.846,0.293,-39.6,78.8,71.0
2009,FWRD,Indu,0.922,0.298,0.616,0.288,-26.9,2.8,27.5
2009,GEL,Ener,0.184,0.976,0.257,0.114,-48.3,97.5,69.6
2009,GEO,Indu,0.520,0.441,0.358,0.346,-45.9,38.5,44.1
2009,GIL,Cons,0.655,0.602,0.189,0.545,-71.4,115.9,63.1
2009,GME,Cons,0.236,0.524,0.771,0.967,-46.0,-24.1,25.9
2009,GNTX,Cons,0.467,0.496,0.229,0.527,-45.5,103.0,68.7
2009,GRC,Indu,0.210,0.086,0.528,0.125,-14.5,0.1,29.0
2009,GT,Cons,0.522,0.280,0.203,0.621,-76.5,117.9,74.9
2009,HEI,Indu,0.124,0.351,0.532,0.433,-27.5,35.3,47.1
2009,HL,Basi,0.925,0.745,0.031,0.062,-83.3,224.1,120.4
2009,HNI,Cons,0.177,0.015,0.420,0.218,-63.0,110.7,66.4
2009,HP,Ener,0.167,0.099,0.928,0.761,-43.0,101.7,68.2
2009,HTLD,Indu,0.883,0.151,0.665,0.546,-8.3,10.9,39.0
2009,HUBG,Indu,0.085,0.309,0.392,0.371,-26.6,26.2,42.7
2009,HUN,Basi,0.473,0.415,0.236,0.210,-90.0,430.9,201.9
2009,HURN,Indu,0.275,0.743,0.802,0.380,-26.9,-37.7,22.2
2009,ICFI,Indu,0.663,0.979,0.320,0.067,-7.0,8.7,43.9
2009,IFF,Basi,0.114,0.050,0.483,0.780,-18.1,23.2,34.9
2009,IT,Indu,0.377,0.078,0.569,0.491,-35.5,87.4,53.2
2009,J,Indu,0.098,0.379,0.795,0.943,-48.1,-2.2,33.3
2009,JHX,Basi,0.441,0.281,0.046,0.603,-42.4,56.6,25.6
2009,KEX,Indu,0.218,0.094,0.724,0.585,-40.8,35.3,42.7
2009,KFY,Indu,0.889,0.587,0.130,0.076,-51.0,126.9,91.6
2009,KMX,Cons,0.016,0.520,0.166,0.821,-34.0,89.9,64.7
2009,KNX,Indu,0.727,0.171,0.476,0.411,-17.9,39.6,44.1
2009,KRO,Basi,0.652,0.748,0.267,0.023,-65.8,139.3,96.6
2009,LEU,Ener,0.735,0.818,0.208,0.263,-42.9,-17.4,29.8
2009,LKQ,Cons,0.151,0.875,0.620,0.650,-45.0,57.8,59.5
2009,LNN,Indu,0.384,0.849,0.128,0.050,-70.6,61.3,55.4
2009,LVS,Cons,0.624,0.774,0.379,0.595,-95.1,341.2,140.6
2009,M,Cons,0.127,0.016,0.075,0.891,-68.7,122.8,79.5
2009,MAN,Indu,0.153,0.405,0.255,0.730,-51.7,92.0,59.4
2009,MAT,Cons,0.280,0.250,0.372,0.948,-43.4,68.4,54.7
2009,MATV,Basi,0.423,0.189,0.306,0.020,-12.1,227.0,95.1
2009,MATX,Indu,0.293,0.563,0.340,0.197,-52.3,52.8,48.1
2009,MELI,Cons,0.246,0.683,0.885,0.302,-60.3,183.2,101.4
2009,MEOH,Basi,0.920,0.766,0.091,0.390,-60.8,161.9,82.7
2009,MGA,Cons,0.366,0.410,0.145,0.852,-65.6,108.3,73.9
2009,MGM,Cons,0.689,0.366,0.050,0.418,-95.3,283.8,131.3
2009,MGRC,Indu,0.567,0.028,0.769,0.171,-2.8,21.9,43.0
2009,MLCO,Cons,0.834,0.963,0.808,0.515,-73.9,17.5,39.3
2009,MLI,Indu,0.216,0.470,0.169,0.112,-26.1,20.5,35.4
2009,MLKN,Cons,0.306,0.382,0.205,0.239,-64.3,92.6,72.3
2009,MLM,Basi,0.660,0.055,0.390,0.885,-22.8,-2.8,27.6
2009,MTX,Basi,0.493,0.062,0.343,0.350,-28.1,23.0,37.3
2009,MTZ,Indu,0.203,0.572,0.881,0.351,21.1,39.3,55.3
2009,MWA,Indu,0.273,0.146,0.002,0.367,-16.4,-32.1,21.0
2009,NAT,Indu,0.886,0.953,0.397,0.514,2.1,-4.6,28.9
2009,NBR,Ener,0.605,0.193,0.525,0.797,-65.8,147.7,84.8
2009,NPK,Indu,0.247,0.971,0.976,0.080,-12.3,132.8,86.1
2009,NPO,Indu,0.348,0.102,0.480,0.166,-22.9,8.2,31.3
2009,OII,Ener,0.068,0.460,0.698,0.644,-53.5,83.4,62.4
2009,OIS,Ener,0.312,0.626,0.893,0.177,-55.4,126.4,81.0
2009,OKE,Ener,0.398,0.719,0.224,0.720,-52.7,86.0,70.4
2009,OLN,Basi,0.761,0.823,0.659,0.550,-8.7,0.7,34.3
2009,ORLY,Cons,0.047,0.782,0.967,0.901,0.0,43.8,48.9
2009,OSK,Indu,0.420,0.889,0.281,0.246,-82.3,378.0,161.7
2009,PDS,Ener,0.694,0.758,0.940,0.392,-81.1,120.5,61.5
2009,PENN,Cons,0.076,0.073,0.836,0.093,-58.3,30.6,39.6
2009,PII,Cons,0.101,0.348,0.450,0.333,-49.7,98.8,67.3
2009,PKE,Indu,0.489,0.450,0.099,0.111,-37.3,51.2,48.9
2009,PKG,Cons,0.237,0.063,0.408,0.540,-51.1,74.4,64.0
2009,PNR,Indu,0.052,0.161,0.335,0.624,-27.6,31.6,40.7
2009,POOL,Indu,0.138,0.145,0.233,0.296,-31.8,56.6,55.5
2009,POWL,Indu,0.322,0.649,0.676,0.041,-29.0,3.4,28.8
2009,PTEN,Ener,0.410,0.426,0.767,0.597,-58.7,77.6,51.4
2009,PVH,Cons,0.400,0.263,0.283,0.457,-49.2,183.2,99.0
2009,PWR,Indu,0.276,0.702,0.519,0.912,-23.4,-4.4,34.2
2009,RBA,Indu,0.589,0.919,0.078,0.654,-36.1,36.8,53.5
2009,RBC,Indu,0.128,0.104,0.636,0.319,-14.6,54.7,46.1
2009,RES,Ener,0.512,0.367,0.803,0.402,-17.1,42.5,45.0
2009,RGLD,Basi,0.577,0.803,0.567,0.626,53.4,-5.8,28.6
2009,RHI,Indu,0.050,0.384,0.272,0.803,-25.8,45.9,46.8
2009,ROST,Cons,0.104,0.031,0.541,0.969,21.4,59.5,60.2
2009,RRX,Indu,0.081,0.465,0.488,0.507,-11.5,47.8,46.5
2009,RS,Basi,0.350,0.725,0.759,0.693,-52.4,77.1,62.7
2009,SHOO,Cons,0.192,0.338,0.543,0.034,-1.9,131.9,82.3
2009,SIG,Cons,0.902,0.904,0.772,0.501,-54.9,124.6,82.1
2009,SM,Ener,0.650,0.616,0.055,0.176,-57.3,127.1,86.0
2009,SMG,Basi,0.789,0.080,0.231,0.743,-0.4,17.7,36.4
2009,SSD,Basi,0.491,0.101,0.270,0.478,-15.9,19.7,35.1
2009,STN,Indu,0.891,0.528,0.922,0.415,-45.1,36.6,51.5
